sedol,bbcode,LOTSIZE,STATUS,CURNY,PRICECLOSE,beta,sector,sector name,group,group name,exchange_rate
6072508,499 HK Equity,2000,ACTV,HKD,2.59,-0.03578337,40,Financials,4040,Real Estate,0.12901
6073556,941 HK Equity,500,ACTV,HKD,85.65,0.8276676,50,Telecommunication Services,5010,Telecommunication Services,0.12901
6075648,23 HK Equity,200,ACTV,HKD,33.1,0.9132861,40,Financials,4010,Banks,0.12901
6077912,1124 HK Equity,2000,ACTV,HKD,0.265,1.033559,40,Financials,4040,Real Estate,0.12901
6079866,1053 HK Equity,2000,ACTV,HKD,1.83,1.181365,15,Materials,1510,Materials,0.12901
6079996,918 HK Equity,2000,ACTV,HKD,0.98,0.4120452,25,Consumer Discretionary,2520,Consumer Durables & Apparel,0.12901
6080396,914 HK Equity,500,ACTV,HKD,29.2,1.377291,15,Materials,1510,Materials,0.12901
6080716,991 HK Equity,2000,ACTV,HKD,3.92,0.7865034,55,Utilities,5510,Utilities,0.12901
6081162,62 HK Equity,400,ACTV,HKD,14.4,0.5193022,20,Industrials,2030,Transportation,0.12901
6081690,392 HK Equity,500,ACTV,HKD,71.95,0.5608287,20,Industrials,2010,Capital Goods,0.12901
6081805,PBS SP Equity,1000,ACTV,SGD,0.265,0.5547062,20,Industrials,2030,Transportation,0.8002
6083340,TMC SP Equity,1000,ACTV,SGD,0.485,#N/A N/A,15,Materials,1510,Materials,0.8002
6084268,588 HK Equity,2000,ACTV,HKD,2.22,1.066217,40,Financials,4040,Real Estate,0.12901
6084387,874 HK Equity,2000,ACTV,HKD,26.9,0.9110054,35,Health Care,3520,"Pharmaceuticals, Biotechnology",0.12901
6084741,771 HK Equity,2000,ACTV,HKD,1.05,0.47529,45,Information Technology,4510,Software & Services,0.12901
6089531,187 HK Equity,2000,ACTV,HKD,4.33,0.26058,20,Industrials,2010,Capital Goods,0.12901
6091202,QAF SP Equity,1000,ACTV,SGD,0.85,0.569029,30,Consumer Staples,3020,Food Beverage & Tobacco,0.8002
6092001,1125 HK Equity,1000,ACTV,HKD,0.18,0.9318783,40,Financials,4040,Real Estate,0.12901
6092357,882 HK Equity,2000,ACTV,HKD,6.39,0.6901502,20,Industrials,2010,Capital Goods,0.12901
6094825,SBUS SP Equity,500,ACTV,SGD,1.705,0.5465969,20,Industrials,2030,Transportation,0.8002
6096973,INNOT SP Equity,1000,ACTV,SGD,0.345,0.2922779,20,Industrials,2010,Capital Goods,0.8002
6097017,2 HK Equity,500,ACTV,HKD,64.45,0.6712782,55,Utilities,5510,Utilities,0.12901
6097062,217 HK Equity,2000,ACTV,HKD,0.395,0.5829759,40,Financials,4040,Real Estate,0.12901
6097608,CDG SP Equity,1000,ACTV,SGD,0.126,0.7753411,30,Consumer Staples,3020,Food Beverage & Tobacco,0.8002
6099422,727 HK Equity,10000,ACTV,HKD,0.56,-0.1928332,40,Financials,4020,Diversified Financials,0.12901
6099671,902 HK Equity,2000,ACTV,HKD,8.82,0.737963,55,Utilities,5510,Utilities,0.12901
6100744,241 HK Equity,2000,ACTV,HKD,5.86,-0.9191393,50,Telecommunication Services,5010,Telecommunication Services,0.12901
6104144,GENHK SP Equity,1000,ACTV,USD,0.39,1.011793,25,Consumer Discretionary,2530,Consumer Services,1
6104597,925 HK Equity,2000,ACTV,HKD,0.78,0.5299695,40,Financials,4040,Real Estate,0.12901
6105738,506 HK Equity,2000,ACTV,HKD,2.97,0.9625151,30,Consumer Staples,3020,Food Beverage & Tobacco,0.12901
6105750,HLA SP Equity,1000,ACTV,SGD,1.56,0.9178535,20,Industrials,2010,Capital Goods,0.8002
